State,1918,1928,1938,1948,1958,1968,1978,1988,1998,2008,2018
United States,0.441236973,0.570657492,0.46892339,0.430862129,0.441388071,0.474296004,0.477857888,0.557940245,0.593916237,0.625912964,0.63465625
Alabama,0.346332014,0.507954836,0.432354122,0.417075634,0.4350245,0.466929913,0.459341884,0.533909202,0.563707411,0.644988179,0.585331917
Arizona,0.356613398,0.482882887,0.413241863,NA,0.450766355,0.480812907,0.499013692,0.552365363,0.573743701,0.602086842,0.611855447
Arkansas,0.377164006,0.415461421,0.437918633,NA,0.470269531,0.46737808,0.481965065,0.547567606,0.561294377,0.667410553,0.619211793
California,0.41719532,0.541008651,0.467261642,NA,0.426407069,0.470136046,0.487678915,0.575551987,0.621916592,0.626426518,0.667600632
Colorado,0.3398242,0.500906825,0.477438509,NA,0.438721538,0.476421326,0.493216544,0.558451414,0.586810946,0.583579838,0.615040541
Connecticut,0.460177004,0.586796224,0.507015824,NA,0.434977233,0.49860853,0.478892863,0.55805254,0.642306089,0.624351621,0.672940731
Delaware,0.569236517,0.747416377,0.673896253,NA,0.494023263,0.51464802,0.496342212,0.520304561,0.553669751,0.558923542,0.573415339
District of Columbia,0.438614786,0.520945609,0.38957876,NA,0.454143673,0.503929853,0.511083305,0.571748376,0.62882489,0.602528751,0.648978651
Florida,0.382938743,0.565491796,0.565554261,NA,0.466565579,0.509860754,0.490834624,0.578894675,0.621242583,0.684999228,0.693132639
Georgia,0.392978072,0.478142798,0.435806364,NA,0.44505769,0.47785145,0.485385895,0.548432231,0.579413354,0.648755252,0.629189849
Idaho,0.303747654,0.344182104,0.372410119,NA,0.427128941,0.471793711,0.486054927,0.562526166,0.574733675,0.634160936,0.61090225
Illinois,0.447603881,0.563126385,0.459474623,NA,0.427060962,0.460462332,0.471181631,0.555384099,0.596150756,0.612948775,0.632794797
Indiana,0.330549479,0.493874967,0.432110012,NA,0.411846101,0.432221681,0.464673728,0.523948073,0.552232683,0.59879005,0.576433241
Iowa,0.300823569,0.477211058,0.423032403,NA,0.428629786,0.46638608,0.45600611,0.538125515,0.541746914,0.566243112,0.56276232
Kansas,0.324391186,0.42672503,0.460630894,NA,0.444906533,0.469141752,0.490868568,0.551003635,0.556504905,0.596371949,0.603488564
Kentucky,0.405143052,0.514894426,0.445241839,NA,0.455591112,0.463965386,0.466827065,0.54112637,0.554089367,0.630896151,0.583170831
Louisiana,0.466577291,0.46523279,0.436995059,NA,0.442776978,0.460516721,0.490301132,0.576586604,0.574885309,0.659363031,0.630091488
Maine,0.413119584,0.548787832,0.575481117,NA,0.461423725,0.446931928,0.468684286,0.511927903,0.5624066,0.600413859,0.557002723
Maryland,0.422967911,0.548064947,0.447489113,NA,0.425466865,0.474131107,0.458442003,0.528924227,0.563262641,0.546802044,0.59081161
Massachusetts,0.502454996,0.585208237,0.468932748,0.407110751,0.433652818,0.470560223,0.473280609,0.534058869,0.601651192,0.593943357,0.646236777
Michigan,0.427059799,0.57883215,0.440272987,0.38961339,0.424775481,0.453178316,0.46143952,0.530825496,0.562874854,0.612598836,0.606664121
Minnesota,0.380131602,0.546123862,0.432686269,0.437218487,0.450331062,0.478791177,0.481855363,0.536536098,0.563549697,0.571339607,0.587805569
Mississippi,0.377701074,0.421452522,0.457232803,0.45556736,0.466887772,0.475286901,0.478041589,0.559653699,0.559747458,0.696294188,0.584472716
Missouri,0.420136899,0.537052691,0.467550665,0.433957726,0.458493412,0.483205408,0.470662385,0.540366113,0.565257668,0.61924386,0.603760839
Montana,0.317430645,0.424668908,0.348577976,0.425098389,0.457925886,0.504133582,0.513872027,0.597674012,0.592696726,0.656008422,0.607842088
Nebraska,0.30535835,0.424627274,0.42903921,0.440079421,0.440262526,0.511067748,0.482377827,0.553218246,0.577671289,0.59720856,0.587173879
Nevada,0.282699496,0.456738621,0.466547489,0.419370085,0.413032562,0.469265997,0.503231287,0.572606146,0.613708854,0.623039007,0.679632664
New Hampshire,0.425213128,0.519171,0.463571936,0.389028579,0.426137894,0.452902406,0.444733322,0.526436329,0.568221331,0.56457907,0.584512115
New Jersey,0.433433712,0.549278736,0.449295342,0.403153777,0.415215999,0.464402288,0.475628525,0.548223138,0.601676166,0.5901829,0.636019528
New Mexico,0.28840059,0.414109915,0.399449855,0.439598233,0.507686317,0.479733646,0.459908962,0.56179446,0.571543097,0.648138583,0.589526355
New York,0.557675481,0.650389373,0.510821819,0.445307523,0.450953066,0.489513159,0.477578253,0.570706904,0.6365152,0.657465935,0.695059061
North Carolina,0.42341578,0.550142646,0.470279038,0.431948334,0.44434911,0.477118254,0.463147938,0.528402388,0.553910613,0.618310988,0.600734711
North Dakota,0.287734866,0.376523286,0.397389621,0.4367688,0.451733232,0.4713099,0.491400212,0.562004209,0.56706363,0.592179954,0.584479928
Ohio,0.406634897,0.559483945,0.452311099,0.40029794,0.419493169,0.437874496,0.447080553,0.520759404,0.537774682,0.590067625,0.570400834
Oklahoma,0.364856601,0.503523111,0.4767946,0.433229387,0.446470261,0.480441034,0.4734703,0.566303432,0.567827582,0.637275219,0.601173759
Oregon,0.392495483,0.443900645,0.417734116,0.419598132,0.434533566,1000,0.480400026,0.538178384,0.56605649,0.595493019,0.584476411
Pennsylvania,0.445582688,0.568220913,0.443359226,0.393397331,0.424549967,0.450862914,0.455705911,0.535758793,0.571593106,0.606555581,0.602458119
Rhode Island,0.529801965,0.591891706,0.490223408,0.395844668,0.415664464,0.460899919,0.465958953,0.525899827,0.557968616,0.589848816,0.583194137
